@relation data

@attribute MainActorName {"Amateur", "Star", "Super Star"}
@attribute SecondActorName {"Amateur", "Star", "Super Star"}
@attribute DirectorName {"Amateur", "Star", "Super Star"}
@attribute Genre1 {Action, Adventure, Animation, Comedy, Drama, Biography, Crime, Fantasy, Horror, Romance, Mystery, Family, Documentary}
@attribute Genre2 {Adventure, Animation, Family, Crime, Comedy, Drama, Fantasy, Horror, Mystery, Sci-Fi, Romance, History, Musical, Music, Biography, Thriller, War, Documentary}
@attribute Genre3 {Fantasy, Sci-Fi, Romance, Comedy, Western, Family, Drama, Thriller, Horror, Crime, Animation, History, Mystery, Sport, War, Biography, Musical, Music, Documentary, Film-Noir}
@attribute CountryOfOrigin {"USA", "UK", "New Zealand", "Canada", "Germany", "Australia", "China", "France", "Japan", "Spain", "Hong Kong", "Czech Republic", "Peru", "South Korea", "India", "Aruba", "Denmark", "Belgium", "South Africa", "Romania", "Chile", "Italy", "Netherlands", "Hungary", "Russia", "Greece", "Ireland", "Taiwan", "Iran", "West Germany", "Georgia", "Mexico", "Iceland", "Thailand", "Brazil", "Norway", "Argentina", "Poland", "Israel", "Indonesia", "Sweden"}
@attribute Budget REAL
@attribute Result {Success, Fail}

@data
"Super Star", "Super Star", "Super Star", "Adventure", "Family", "Fantasy", "USA", 200000000, "Success"
"Super Star", "Amateur", "Star", "Action", "Adventure", "Fantasy", "Canada", 210000000, "Fail"
"Super Star", "Amateur", "Amateur", "Adventure", "Animation", "Comedy", "USA", 200000000, "Success"
"Amateur", "Amateur", "Super Star", "Action", "Adventure", "Sci-Fi", "USA", 200000000, "Success"
"Super Star", "Super Star", "Star", "Action", "Adventure", "Fantasy", "USA", 200000000, "Fail"
"Star", "Amateur", "Star", "Adventure", "Animation", "Comedy", "USA", 200000000, "Fail"
"Super Star", "Amateur", "Star", "Action", "Adventure", "Sci-Fi", "USA", 200000000, "Fail"
"Super Star", "Star", "Star", "Adventure", "Animation", "Comedy", "USA", 200000000, "Success"
"Super Star", "Super Star", "Star", "Action", "Adventure", "Horror", "USA", 190000000, "Fail"
"Super Star", "Amateur", "Super Star", "Action", "Adventure", "Sci-Fi", "USA", 190000000, "Success"
"Super Star", "Amateur", "Star", "Action", "Adventure", "Fantasy", "USA", 200000000, "Fail"
"Amateur", "Amateur", "Super Star", "Action", "Adventure", "Sci-Fi", "USA", 195000000, "Success"
"Super Star", "Star", "Super Star", "Action", "Adventure", "Fantasy", "USA", 185000000, "Success"
"Star", "Star", "Amateur", "Adventure", "Animation", "Comedy", "USA", 185000000, "Success"
"Star", "Amateur", "Star", "Adventure", "Animation", "Family", "USA", 180000000, "Success"
"Star", "Amateur", "Star", "Action", "Adventure", "Sci-Fi", "USA", 200000000, "Fail"
"Super Star", "Super Star", "Star", "Action", "Adventure", "Drama", "USA", 180000000, "Fail"
"Star", "Amateur", "Amateur", "Adventure", "Family", "Fantasy", "USA", 180000000, "Success"
"Super Star", "Super Star", "Super Star", "Action", "Crime", "Drama", "USA", 185000000, "Success"
"Star", "Amateur", "Amateur", "Action", "Adventure", "Animation", "USA", 175000000, "Fail"
"Super Star", "Super Star", "Super Star", "Action", "Adventure", "Sci-Fi", "USA", 140000000, "Success"
"Super Star", "Star", "Star", "Action", "Comedy", "Sci-Fi", "USA", 170000000, "Fail"
"Star", "Star", "Star", "Action", "Adventure", "Fantasy", "USA", 145000000, "Fail"
"Super Star", "Super Star", "Star", "Comedy", "Family", "Fantasy", "USA", 175000000, "Fail"
"Super Star", "Amateur", "Star", "Action", "Adventure", "Sci-Fi", "USA", 178000000, "Fail"
"Super Star", "Star", "Star", "Action", "Adventure", "Sci-Fi", "USA", 175000000, "Fail"
"Super Star", "Super Star", "Super Star", "Adventure", "Drama", "Family", "UK", 175000000, "Success"
"Super Star", "Super Star", "Super Star", "Action", "Adventure", "Sci-Fi", "USA", 200000000, "Success"
"Super Star", "Super Star", "Star", "Action", "Adventure", "Drama", "USA", 170000000, "Fail"
"Super Star", "Star", "Star", "Action", "Adventure", "Family", "USA", 180000000, "Success"
"Super Star", "Star", "Star", "Action", "Adventure", "Drama", "USA", 170000000, "Success"
"Super Star", "Star", "Amateur", "Action", "Adventure", "Drama", "USA", 175000000, "Fail"
"Super Star", "Super Star", "Amateur", "Action", "Adventure", "Sci-Fi", "USA", 170000000, "Success"
"Star", "Amateur", "Amateur", "Adventure", "Animation", "Comedy", "USA", 165000000, "Success"
"Star", "Amateur", "Star", "Action", "Adventure", "Family", "USA", 190000000, "Fail"
"Amateur", "Amateur", "Amateur", "Adventure", "Animation", "Comedy", "USA", 165000000, "Fail"
"Amateur", "Amateur", "Star", "Action", "Adventure", "Sci-Fi", "USA", 165000000, "Fail"
"Super Star", "Amateur", "Star", "Adventure", "Animation", "Family", "USA", 165000000, "Success"
"Super Star", "Super Star", "Star", "Action", "Adventure", "Sci-Fi", "USA", 170000000, "Success"
"Super Star", "Super Star", "Super Star", "Adventure", "Drama", "Sci-Fi", "USA", 165000000, "Fail"
"Super Star", "Super Star", "Super Star", "Action", "Adventure", "Sci-Fi", "USA", 160000000, "Success"
"Super Star", "Super Star", "Star", "Action", "Crime", "Thriller", "USA", 38000000, "Success"
"Super Star", "Star", "Super Star", "Drama", "Fantasy", "Romance", "USA", 150000000, "Fail"
"Super Star", "Amateur", "Star", "Action", "Adventure", "Family", "USA", 150000000, "Fail"
"Super Star", "Star", "Star", "Action", "Adventure", "Drama", "USA", 160000000, "Fail"
"Super Star", "Super Star", "Amateur", "Adventure", "Family", "Fantasy", "USA", 170000000, "Fail"
"Star", "Amateur", "Amateur", "Adventure", "Animation", "Comedy", "USA", 160000000, "Success"
"Star", "Amateur", "Super Star", "Action", "Drama", "History", "USA", 140000000, "Success"
"Amateur", "Amateur", "Super Star", "Action", "Adventure", "Sci-Fi", "USA", 150000000, "Success"
"Super Star", "Super Star", "Star", "Adventure", "Family", "Fantasy", "UK", 150000000, "Success"
"Super Star", "Super Star", "Star", "Adventure", "Family", "Fantasy", "UK", 150000000, "Success"
"Super Star", "Star", "Star", "Drama", "Horror", "Sci-Fi", "USA", 150000000, "Success"
"Super Star", "Super Star", "Super Star", "Adventure", "Comedy", "Family", "USA", 150000000, "Success"
"Star", "Star", "Star", "Animation", "Comedy", "Family", "USA", 150000000, "Success"
"Star", "Amateur", "Amateur", "Action", "Adventure", "Animation", "USA", 150000000, "Fail"
"Super Star", "Star", "Star", "Adventure", "Comedy", "Family", "USA", 150000000, "Fail"
"Super Star", "Super Star", "Star", "Action", "Adventure", "Fantasy", "USA", 150000000, "Fail"
"Star", "Amateur", "Amateur", "Adventure", "Animation", "Comedy", "USA", 150000000, "Success"
"Amateur", "Amateur", "Amateur", "Action", "Adventure", "Animation", "USA", 150000000, "Fail"
"Super Star", "Amateur", "Star", "Action", "Adventure", "Fantasy", "USA", 150000000, "Fail"
"Super Star", "Super Star", "Super Star", "Comedy", "Fantasy", "Horror", "USA", 100000000, "Fail"
"Super Star", "Super Star", "Star", "Action", "Adventure", "Thriller", "China", 150000000, "Success"
"Super Star", "Amateur", "Star", "Drama", "Fantasy", "Horror", "USA", 150000000, "Fail"
"Super Star", "Super Star", "Star", "Action", "Adventure", "Drama", "USA", 180000000, "Fail"
"Star", "Amateur", "Amateur", "Adventure", "Animation", "Comedy", "USA", 150000000, "Fail"
"Star", "Amateur", "Super Star", "Action", "Adventure", "Family", "USA", 150000000, "Fail"
"Super Star", "Super Star", "Super Star", "Action", "Adventure", "Thriller", "USA", 150000000, "Fail"
"Super Star", "Amateur", "Star", "Action", "Drama", "Thriller", "USA", 150000000, "Fail"
"Super Star", "Super Star", "Amateur", "Adventure", "Animation", "Comedy", "UK", 149000000, "Fail"
"Super Star", "Amateur", "Star", "Adventure", "Family", "Fantasy", "USA", 150000000, "Fail"
"Star", "Star", "Amateur", "Adventure", "Animation", "Comedy", "USA", 145000000, "Fail"
"Amateur", "Amateur", "Amateur", "Adventure", "Animation", "Comedy", "USA", 145000000, "Success"
"Super Star", "Super Star", "Super Star", "Action", "Adventure", "Sci-Fi", "USA", 140000000, "Success"
"Super Star", "Star", "Star", "Action", "Adventure", "Comedy", "USA", 140000000, "Success"
"Super Star", "Super Star", "Amateur", "Action", "Adventure", "Animation", "USA", 145000000, "Fail"
"Super Star", "Super Star", "Star", "Action", "Adventure", "Thriller", "USA", 145000000, "Success"
"Super Star", "Amateur", "Amateur", "Adventure", "Animation", "Family", "USA", 145000000, "Fail"
"Super Star", "Amateur", "Star", "Action", "Drama", "History", "USA", 140000000, "Fail"
"Super Star", "Amateur", "Super Star", "Action", "Adventure", "Drama", "UK", 140000000, "Fail"
"Super Star", "Super Star", "Super Star", "Action", "Adventure", "Sci-Fi", "USA", 150000000, "Success"
"Super Star", "Star", "Star", "Action", "Adventure", "Animation", "USA", 145000000, "Success"
"Super Star", "Amateur", "Star", "Action", "Adventure", "Fantasy", "USA", 140000000, "Fail"
"Star", "Amateur", "Star", "Action", "Crime", "Thriller", "USA", 140000000, "Fail"
"Super Star", "Super Star", "Star", "Action", "Adventure", "Sci-Fi", "USA", 130000000, "Fail"
"Super Star", "Amateur", "Amateur", "Action", "Adventure", "Comedy", "UK", 130000000, "Fail"
"Super Star", "Star", "Amateur", "Action", "Adventure", "Animation", "USA", 137000000, "Fail"
"Super Star", "Star", "Star", "Action", "Adventure", "Sci-Fi", "USA", 140000000, "Success"
"Super Star", "Super Star", "Star", "Adventure", "Drama", "Fantasy", "USA", 120000000, "Success"
"Super Star", "Super Star", "Star", "Animation", "Comedy", "Family", "Australia", 135000000, "Fail"
"Star", "Star", "Star", "Action", "Adventure", "Sci-Fi", "USA", 150000000, "Fail"
"Super Star", "Amateur", "Amateur", "Adventure", "Animation", "Comedy", "USA", 135000000, "Fail"
"Super Star", "Star", "Star", "Adventure", "Animation", "Comedy", "USA", 135000000, "Fail"
"Super Star", "Amateur", "Amateur", "Adventure", "Animation", "Comedy", "USA", 132000000, "Fail"
"Super Star", "Amateur", "Star", "Action", "Mystery", "Thriller", "USA", 110000000, "Success"
"Super Star", "Amateur", "Amateur", "Action", "Adventure", "Animation", "USA", 130000000, "Success"
"Star", "Star", "Star", "Action", "Adventure", "Comedy", "USA", 130000000, "Success"
"Super Star", "Super Star", "Star", "Adventure", "Sci-Fi", "Thriller", "USA", 130000000, "Success"
"Super Star", "Super Star", "Star", "Adventure", "Drama", "Fantasy", "USA", 120000000, "Success"
"Super Star", "Amateur", "Amateur", "Adventure", "Animation", "Comedy", "USA", 135000000, "Success"
"Super Star", "Star", "Super Star", "Adventure", "Sci-Fi", "Thriller", "USA", 132000000, "Success"
"Super Star", "Amateur", "Super Star", "Action", "Comedy", "Crime", "USA", 130000000, "Fail"
"Star", "Amateur", "Amateur", "Action", "Adventure", "Animation", "USA", 130000000, "Fail"
"Super Star", "Amateur", "Star", "Action", "Crime", "Mystery", "USA", 110000000, "Fail"
"Star", "Amateur", "Super Star", "Action", "Adventure", "Family", "USA", 135000000, "Fail"
"Amateur", "Amateur", "Star", "Adventure", "Drama", "Romance", "Australia", 130000000, "Fail"
"Super Star", "Amateur", "Super Star", "Action", "Adventure", "Sci-Fi", "USA", 130000000, "Fail"
"Super Star", "Star", "Star", "Adventure", "Comedy", "Family", "USA", 127000000, "Fail"
"Super Star", "Super Star", "Amateur", "Action", "Animation", "Comedy", "USA", 130000000, "Fail"
"Super Star", "Super Star", "Star", "Action", "Comedy", "Fantasy", "USA", 130000000, "Fail"
"Super Star", "Star", "Star", "Action", "Adventure", "Fantasy", "USA", 140000000, "Success"
"Super Star", "Super Star", "Star", "Adventure", "Sci-Fi", "Thriller", "USA", 125000000, "Success"
"Super Star", "Super Star", "Star", "Action", "Crime", "Thriller", "USA", 125000000, "Success"
"Super Star", "Star", "Star", "Action", "Adventure", "Fantasy", "USA", 125000000, "Success"
"Super Star", "Amateur", "Star", "Action", "Adventure", "Thriller", "USA", 125000000, "Fail"
"Star", "Amateur", "Super Star", "Comedy", "Family", "Fantasy", "USA", 123000000, "Success"
"Super Star", "Star", "Star", "Action", "Adventure", "Sci-Fi", "USA", 125000000, "Success"
"Super Star", "Amateur", "Star", "Action", "Adventure", "Thriller", "USA", 125000000, "Success"
"Super Star", "Star", "Star", "Action", "Adventure", "Sci-Fi", "USA", 130000000, "Fail"
"Super Star", "Super Star", "Super Star", "Adventure", "Mystery", "Sci-Fi", "USA", 130000000, "Fail"
"Amateur", "Amateur", "Amateur", "Adventure", "Animation", "Comedy", "USA", 120000000, "Fail"
"Super Star", "Star", "Star", "Action", "Drama", "Sci-Fi", "USA", 115000000, "Fail"
"Super Star", "Amateur", "Star", "Action", "Comedy", "Romance", "USA", 117000000, "Fail"
"Super Star", "Amateur", "Star", "Action", "Adventure", "Sci-Fi", "USA", 120000000, "Fail"
"Super Star", "Super Star", "Amateur", "Adventure", "Animation", "Comedy", "USA", 135000000, "Success"
"Super Star", "Amateur", "Star", "Action", "Drama", "War", "USA", 115000000, "Fail"
"Super Star", "Super Star", "Amateur", "Action", "Adventure", "Drama", "USA", 115000000, "Fail"
"Amateur", "Amateur", "Star", "Action", "Adventure", "Comedy", "USA", 125000000, "Success"
"Amateur", "Amateur", "Amateur", "Action", "Adventure", "Thriller", "USA", 116000000, "Fail"
"Star", "Amateur", "Amateur", "Action", "Adventure", "Comedy", "USA", 135000000, "Fail"
"Amateur", "Amateur", "Star", "Action", "Adventure", "Sci-Fi", "USA", 120000000, "Fail"
"Super Star", "Star", "Star", "Action", "Adventure", "Comedy", "USA", 110000000, "Success"
"Amateur", "Amateur", "Amateur", "Action", "Adventure", "Thriller", "UK", 110000000, "Fail"
"Super Star", "Star", "Star", "Action", "Drama", "History", "USA", 110000000, "Fail"
"Super Star", "Super Star", "Star", "Action", "Comedy", "Crime", "USA", 120000000, "Success"
"Super Star", "Star", "Star", "Adventure", "Sci-Fi", "Thriller", "USA", 110000000, "Fail"
"Amateur", "Amateur", "Amateur", "Adventure", "Comedy", "Family", "USA", 112000000, "Fail"
"Super Star", "Star", "Star", "Action", "Comedy", "Crime", "USA", 120000000, "Fail"
"Super Star", "Amateur", "Amateur", "Animation", "Comedy", "Family", "USA", 110000000, "Fail"
"Super Star", "Amateur", "Star", "Action", "Drama", "Sci-Fi", "USA", 110000000, "Fail"
"Super Star", "Amateur", "Star", "Action", "Adventure", "Thriller", "USA", 110000000, "Success"
"Star", "Star", "Star", "Action", "Adventure", "Comedy", "USA", 110000000, "Fail"
"Super Star", "Amateur", "Star", "Action", "Mystery", "Sci-Fi", "USA", 120000000, "Success"
"Super Star", "Star", "Super Star", "Action", "Adventure", "Drama", "USA", 130000000, "Fail"
"Amateur", "Amateur", "Amateur", "Animation", "Family", "Fantasy", "USA", 105000000, "Fail"
"Super Star", "Amateur", "Super Star", "Adventure", "Drama", "Sci-Fi", "USA", 108000000, "Success"
"Super Star", "Super Star", "Super Star", "Action", "Adventure", "Romance", "USA", 126000000, "Fail"
"Star", "Amateur", "Super Star", "Action", "Drama", "Romance", "USA", 103000000, "Success"
"Super Star", "Amateur", "Super Star", "Action", "Mystery", "Sci-Fi", "USA", 102000000, "Success"
"Star", "Amateur", "Super Star", "Action", "Adventure", "Sci-Fi", "USA", 100000000, "Success"
"Super Star", "Amateur", "Super Star", "Biography", "Crime", "Drama", "USA", 100000000, "Success"
"Star", "Star", "Super Star", "Action", "Comedy", "Thriller", "USA", 115000000, "Success"
"Super Star", "Amateur", "Super Star", "Action", "Crime", "Thriller", "USA", 100000000, "Fail"
"Super Star", "Super Star", "Star", "Action", "Comedy", "Crime", "USA", 100000000, "Fail"
"Star", "Amateur", "Amateur", "Action", "Drama", "Mystery", "USA", 100000000, "Fail"
"Star", "Amateur", "Amateur", "Animation", "Drama", "Family", "USA", 100000000, "Fail"
"Super Star", "Super Star", "Star", "Action", "Adventure", "Thriller", "USA", 92000000, "Fail"
"Super Star", "Amateur", "Star", "Action", "Adventure", "Comedy", "USA", 100000000, "Success"
"Star", "Amateur", "Amateur", "Action", "Adventure", "Family", "USA", 100000000, "Fail"
"Super Star", "Amateur", "Star", "Adventure", "Family", "Fantasy", "USA", 150000000, "Fail"
"Super Star", "Amateur", "Amateur", "Adventure", "Animation", "Family", "USA", 100000000, "Fail"
"Super Star", "Star", "Star", "Adventure", "Drama", "Thriller", "Germany", 100000000, "Fail"
"Super Star", "Super Star", "Super Star", "Biography", "Comedy", "Crime", "USA", 100000000, "Fail"
"Amateur", "Amateur", "Star", "Action", "Adventure", "Fantasy", "USA", 100000000, "Success"
"Star", "Amateur", "Super Star", "Action", "Adventure", "Animation", "USA", 80000000, "Fail"
"Amateur", "Amateur", "Amateur", "Action", "Crime", "Fantasy", "USA", 100000000, "Fail"
"Super Star", "Amateur", "Amateur", "Adventure", "Animation", "Family", "USA", 140000000, "Fail"
"Super Star", "Amateur", "Amateur", "Adventure", "Comedy", "Sci-Fi", "USA", 100000000, "Fail"
"Star", "Amateur", "Amateur", "Action", "Crime", "Sport", "USA", 105000000, "Fail"
"Super Star", "Amateur", "Super Star", "Action", "Adventure", "Biography", "USA", 100000000, "Fail"
"Star", "Amateur", "Amateur", "Action", "Comedy", "Sci-Fi", "USA", 100000000, "Fail"
"Super Star", "Amateur", "Star", "Action", "Drama", "Thriller", "France", 100000000, "Fail"
"Super Star", "Star", "Star", "Action", "Adventure", "Fantasy", "USA", 98000000, "Success"
"Super Star", "Super Star", "Amateur", "Animation", "Comedy", "Family", "USA", 100000000, "Fail"
"Star", "Amateur", "Super Star", "Drama", "History", "War", "USA", 92000000, "Fail"
"Star", "Amateur", "Amateur", "Adventure", "Animation", "Comedy", "USA", 95000000, "Fail"
"Super Star", "Star", "Amateur", "Adventure", "Animation", "Comedy", "USA", 95000000, "Success"
"Star", "Amateur", "Star", "Adventure", "Animation", "Comedy", "USA", 94000000, "Success"
"Super Star", "Star", "Amateur", "Action", "Adventure", "Fantasy", "USA", 95000000, "Fail"
"Super Star", "Amateur", "Star", "Action", "Adventure", "Fantasy", "USA", 115000000, "Fail"
"Amateur", "Amateur", "Star", "Action", "Adventure", "Sci-Fi", "USA", 93000000, "Success"
"Super Star", "Star", "Amateur", "Action", "Drama", "Sci-Fi", "USA", 93000000, "Success"
"Amateur", "Amateur", "Amateur", "Adventure", "Family", "Fantasy", "USA", 90000000, "Fail"
"Star", "Amateur", "Star", "Drama", "History", "War", "USA", 107000000, "Fail"
"Star", "Amateur", "Star", "Action", "Adventure", "Animation", "USA", 92000000, "Success"
"Star", "Amateur", "Star", "Action", "Adventure", "Comedy", "USA", 98000000, "Fail"
"Super Star", "Amateur", "Star", "Adventure", "Comedy", "Family", "USA", 90000000, "Success"
"Super Star", "Star", "Star", "Adventure", "Animation", "Comedy", "USA", 90000000, "Success"
"Amateur", "Amateur", "Amateur", "Animation", "Comedy", "Family", "USA", 100000000, "Success"
"Amateur", "Amateur", "Star", "Action", "Adventure", "Animation", "USA", 90000000, "Success"
"Super Star", "Super Star", "Super Star", "Crime", "Drama", "Thriller", "USA", 90000000, "Success"
"Star", "Amateur", "Amateur", "Adventure", "Animation", "Family", "USA", 90000000, "Success"
"Super Star", "Star", "Super Star", "Crime", "Drama", "Mystery", "USA", 90000000, "Fail"
"Super Star", "Amateur", "Star", "Action", "Adventure", "Thriller", "USA", 90000000, "Fail"
"Super Star", "Amateur", "Amateur", "Action", "Adventure", "Animation", "USA", 120000000, "Fail"
"Star", "Amateur", "Super Star", "Adventure", "Drama", "Sci-Fi", "USA", 100000000, "Fail"
"Super Star", "Amateur", "Amateur", "Adventure", "Family", "Fantasy", "USA", 90000000, "Fail"
"Super Star", "Super Star", "Star", "Action", "Adventure", "Fantasy", "USA", 95000000, "Fail"
"Super Star", "Super Star", "Star", "Action", "Adventure", "Comedy", "USA", 90000000, "Fail"
"Super Star", "Amateur", "Super Star", "Action", "Crime", "Thriller", "Germany", 92000000, "Fail"
"Super Star", "Amateur", "Star", "Adventure", "Animation", "Comedy", "USA", 90000000, "Success"
"Star", "Amateur", "Amateur", "Action", "Drama", "Sci-Fi", "USA", 90000000, "Fail"
"Super Star", "Super Star", "Amateur", "Action", "Crime", "Drama", "USA", 86000000, "Fail"
"Amateur", "Amateur", "Star", "Action", "Adventure", "Sci-Fi", "USA", 120000000, "Fail"
"Super Star", "Amateur", "Star", "Drama", "History", "Sport", "USA", 87000000, "Success"
"Super Star", "Amateur", "Star", "Action", "Adventure", "Drama", "USA", 92000000, "Success"
"Super Star", "Super Star", "Star", "Action", "Crime", "Thriller", "USA", 38000000, "Success"
"Super Star", "Super Star", "Star", "Animation", "Comedy", "Family", "USA", 100000000, "Success"
"Super Star", "Amateur", "Star", "Action", "Mystery", "Thriller", "USA", 75000000, "Success"
"Super Star", "Super Star", "Star", "Action", "Adventure", "Drama", "USA", 85000000, "Success"
"Super Star", "Super Star", "Star", "Action", "Adventure", "Romance", "Germany", 75000000, "Fail"
"Super Star", "Super Star", "Star", "Animation", "Comedy", "Family", "USA", 85000000, "Success"
"Amateur", "Amateur", "Amateur", "Animation", "Comedy", "Family", "USA", 85000000, "Success"
"Super Star", "Super Star", "Amateur", "Action", "Crime", "Mystery", "USA", 85000000, "Success"
"Star", "Amateur", "Amateur", "Adventure", "Comedy", "Family", "USA", 85000000, "Fail"
"Star", "Amateur", "Star", "Action", "Comedy", "Crime", "USA", 75000000, "Fail"
"Super Star", "Amateur", "Super Star", "Action", "Crime", "Drama", "USA", 90000000, "Success"
"Super Star", "Star", "Star", "Comedy", "Drama", "Romance", "USA", 85000000, "Success"
"Star", "Amateur", "Amateur", "Adventure", "Animation", "Comedy", "USA", 85000000, "Fail"
"Super Star", "Star", "Star", "Adventure", "Mystery", "Sci-Fi", "USA", 85000000, "Success"
"Star", "Amateur", "Star", "Drama", "History", "War", "USA", 68000000, "Fail"
"Super Star", "Star", "Star", "Action", "Adventure", "Comedy", "USA", 85000000, "Fail"
"Star", "Amateur", "Amateur", "Adventure", "Animation", "Comedy", "UK", 100000000, "Fail"
"Super Star", "Super Star", "Star", "Drama", "Fantasy", "Romance", "USA", 90000000, "Fail"
"Super Star", "Amateur", "Star", "Adventure", "Comedy", "Drama", "USA", 85000000, "Fail"
"Super Star", "Star", "Star", "Action", "Comedy", "Fantasy", "USA", 60000000, "Fail"
"Amateur", "Amateur", "Amateur", "Action", "Adventure", "Sci-Fi", "USA", 60000000, "Fail"
"Amateur", "Amateur", "Amateur", "Comedy", "Romance", "Sci-Fi", "USA", 65000000, "Success"
"Star", "Star", "Amateur", "Adventure", "Comedy", "Mystery", "USA", 84000000, "Success"
"Super Star", "Star", "Star", "Comedy", "Drama", "Fantasy", "USA", 70000000, "Success"
"Super Star", "Star", "Star", "Action", "Adventure", "Sci-Fi", "USA", 85000000, "Fail"
"Super Star", "Super Star", "Super Star", "Crime", "Drama", "History", "USA", 65000000, "Fail"
"Star", "Amateur", "Amateur", "Action", "Mystery", "Sci-Fi", "USA", 82000000, "Fail"
"Super Star", "Super Star", "Super Star", "Action", "Adventure", "Thriller", "USA", 80000000, "Success"
"Super Star", "Super Star", "Star", "Adventure", "Drama", "Sci-Fi", "USA", 78000000, "Success"
"Super Star", "Super Star", "Amateur", "Adventure", "Animation", "Comedy", "USA", 80000000, "Success"
"Star", "Amateur", "Star", "Adventure", "Animation", "Comedy", "USA", 80000000, "Success"
"Super Star", "Star", "Amateur", "Action", "Drama", "Romance", "USA", 75000000, "Success"
"Super Star", "Super Star", "Amateur", "Action", "Comedy", "Crime", "USA", 84000000, "Fail"
"Super Star", "Amateur", "Amateur", "Comedy", "Crime", "Sport", "USA", 82000000, "Success"
"Star", "Star", "Amateur", "Adventure", "Animation", "Comedy", "USA", 75000000, "Success"
"Super Star", "Super Star", "Amateur", "Action", "Adventure", "Comedy", "USA", 80000000, "Success"
"Super Star", "Star", "Star", "Comedy", "Drama", "Romance", "USA", 80000000, "Success"
"Star", "Star", "Amateur", "Comedy", "Drama", "Romance", "Germany", 80000000, "Success"
"Star", "Amateur", "Amateur", "Adventure", "Animation", "Comedy", "USA", 75000000, "Success"
"Super Star", "Star", "Star", "Action", "Crime", "Sci-Fi", "USA", 80000000, "Success"
"Super Star", "Amateur", "Star", "Comedy", "Family", "Fantasy", "USA", 80000000, "Success"
"Super Star", "Amateur", "Star", "Action", "Crime", "Thriller", "USA", 75000000, "Success"
"Star", "Amateur", "Star", "Action", "Mystery", "Thriller", "USA", 80000000, "Success"
"Super Star", "Super Star", "Star", "Adventure", "Drama", "History", "USA", 79000000, "Success"
"Super Star", "Super Star", "Star", "Action", "Adventure", "Drama", "USA", 80000000, "Fail"
"Super Star", "Amateur", "Amateur", "Comedy", "Family", "Sci-Fi", "USA", 80000000, "Fail"
"Super Star", "Amateur", "Star", "Fantasy", "Horror", "Mystery", "USA", 80000000, "Fail"
"Super Star", "Amateur", "Amateur", "Adventure", "Animation", "Comedy", "USA", 80000000, "Fail"
